model_name,model_year,sale_price,mileage,car_age,yearly_maint,maintenance_status,assigned_tier
"E Class",2017,21399,18941,9,1666,Minor,Premium
"C Class",2017,15699,15252,9,1111,Minor,Standard
"A Class",2016,15499,7772,10,800,Major,Economy
"GLA Class",2019,23199,14858,7,635,Minor,Economy
"E Class",2019,24449,14313,7,1428,Minor,Premium
"E Class",2019,24349,15189,7,1428,Minor,Premium
"E Class",2019,28899,13828,7,1428,Minor,Premium
"C Class",2019,24249,15764,7,952,Minor,Standard
"B Class",2019,22299,12451,7,635,Minor,Economy
"E Class",2019,25899,11959,7,1428,Minor,Premium
"E Class",2019,26099,9401,7,1428,Minor,Premium
"E Class",2018,29499,6841,8,1542,Major,Premium
"C Class",2019,34499,3822,7,952,Minor,Standard
"C Class",2019,30249,10525,7,952,Minor,Standard
"CL Class",2019,30299,7772,7,2063,Minor,Luxury
"GLE Class",2019,46549,8207,7,1428,Minor,Premium
"GLA Class",2019,23099,13723,7,635,Minor,Economy
"GLC Class",2019,32049,10698,7,1428,Minor,Premium
"C Class",2019,21449,20480,7,952,Minor,Standard
"C Class",2019,19899,13516,7,952,Minor,Standard
"C Class",2019,19599,15669,7,952,Minor,Standard
"E Class",2019,24449,13679,7,1428,Minor,Premium
"CLS Class",2019,38899,7937,7,1428,Minor,Premium
"A Class",2019,22199,2889,7,635,Minor,Economy
"E Class",2019,36749,2422,7,1428,Minor,Premium
"SL CLASS",2016,30389,46000,10,2599,Major,Luxury
"B Class",2019,22299,12406,7,635,Minor,Economy
"B Class",2019,22499,12706,7,635,Minor,Economy
"E Class",2017,20899,28878,9,1666,Minor,Premium
"C Class",2019,23199,2000,7,952,Minor,Standard
"SL CLASS",2019,29799,2000,7,2063,Minor,Luxury
"E Class",2018,34199,18331,8,1542,Major,Premium
"C Class",2019,25499,16121,7,952,Minor,Standard
"C Class",2019,20999,12394,7,952,Minor,Standard
"C Class",2018,18449,6501,8,1028,Major,Standard
"A Class",2018,17299,12450,8,686,Major,Economy
"C Class",2015,14899,46000,11,1295,Minor,Standard
"E Class",2017,22499,21301,9,1666,Minor,Premium
"GLC Class",2019,32199,9418,7,1428,Minor,Premium
"E Class",2019,38899,2247,7,1428,Minor,Premium
"C Class",2019,29699,5766,7,952,Minor,Standard
"C Class",2019,25599,15391,7,952,Minor,Standard
"E Class",2017,19999,41620,9,1666,Minor,Premium
"C Class",2018,23899,11896,8,1028,Major,Standard
"C Class",2019,28999,5789,7,952,Minor,Standard
"C Class",2019,28999,4606,7,952,Minor,Standard
"C Class",2019,28799,2000,7,952,Minor,Standard
"E Class",2019,26199,2000,7,1428,Minor,Premium
"CL Class",2020,28319,1000,6,1910,Major,Luxury
"C Class",2017,27699,33475,9,1111,Minor,Standard
"GLC Class",2015,23549,38254,11,1943,Minor,Premium
"CLS Class",2016,20699,23629,10,1799,Major,Premium
"C Class",2019,25749,13894,7,952,Minor,Standard
"C Class",2019,26299,8214,7,952,Minor,Standard
"C Class",2019,25949,10272,7,952,Minor,Standard
"C Class",2019,26449,7382,7,952,Minor,Standard
"E Class",2019,24349,14522,7,1428,Minor,Premium
"GLC Class",2019,31649,4086,7,1428,Minor,Premium
"C Class",2016,20199,34400,10,1199,Major,Standard
"E Class",2016,20049,24242,10,1799,Major,Premium
"GLA Class",2016,17999,36249,10,800,Major,Economy
"C Class",2019,25249,10597,7,952,Minor,Standard
"C Class",2019,31999,2570,7,952,Minor,Standard
"A Class",2019,21399,9085,7,635,Minor,Economy
"GLA Class",2019,23799,7836,7,635,Minor,Economy
"CLS Class",2019,44999,6465,7,1428,Minor,Premium
"CLS Class",2019,44599,6056,7,1428,Minor,Premium
"E Class",2019,24999,7773,7,1428,Minor,Premium
"E Class",2015,16999,16688,11,1943,Minor,Premium
"GLC Class",2019,30199,4102,7,1428,Minor,Premium
"A Class",2019,23699,7645,7,635,Minor,Economy
"C Class",2017,22399,19906,9,1111,Minor,Standard
"GLA Class",2017,20699,15169,9,740,Minor,Economy
"C Class",2017,23999,21212,9,1111,Minor,Standard
"GLE Class",2019,49199,6785,7,1428,Minor,Premium
"GLA Class",2019,26599,2000,7,635,Minor,Economy
